"id_transaction","date_vente","canal_vente","produit_nom","quantite","prix_unitaire","frais_logistique","statut_paiement"
1,"2026-03-04 00:00:00+01","Site Web","Huile Moteur Total 5L",2,"25000.00","2654.00","En attente"
2,"2026-01-31 00:00:00+01","Magasin","Filtre à air",2,"5000.00","0.00","Annulé"
3,"2026-02-16 00:00:00+01","Site Web","Huile Moteur Total 5L",2,"25000.00","1629.00","Payé"
4,"2026-03-24 00:00:00+01","Magasin","Filtre à air",2,"5000.00","0.00","Payé"
5,"2026-02-08 00:00:00+01","Site Web","Batterie 70Ah",4,"45000.00","2348.00","En attente"
6,"2026-03-06 00:00:00+01","Site Web","Pneu Triangle 205/55R16",4,"35000.00","1950.00","Payé"
7,"2026-01-31 00:00:00+01","Site Web","Pneu Triangle 205/55R16",1,"35000.00","2318.00","En attente"
8,"2026-02-17 00:00:00+01","WhatsApp","Pneu Triangle 205/55R16",4,"35000.00","2349.00","Annulé"
9,"2026-02-21 00:00:00+01","Site Web","Pneu Triangle 205/55R16",1,"35000.00","2934.00","Annulé"
10,"2026-03-07 00:00:00+01","WhatsApp","Batterie 70Ah",2,"45000.00","2556.00","Annulé"
11,"2026-03-21 00:00:00+01","Site Web","Huile Moteur Total 5L",4,"25000.00","2069.00","Annulé"
12,"2026-01-12 00:00:00+01","Magasin","Huile Moteur Total 5L",2,"25000.00","0.00","Annulé"
13,"2026-01-21 00:00:00+01","Site Web","Plaquettes de frein",4,"12000.00","2294.00","En attente"
14,"2026-02-10 00:00:00+01","WhatsApp","Huile Moteur Total 5L",1,"25000.00","2968.00","Annulé"
15,"2026-02-18 00:00:00+01","Site Web","Plaquettes de frein",3,"12000.00","1940.00","Annulé"
16,"2026-01-28 00:00:00+01","Magasin","Filtre à air",4,"5000.00","0.00","Payé"
17,"2026-03-31 00:00:00+02","Magasin","Filtre à air",2,"5000.00","0.00","Annulé"
18,"2026-03-17 00:00:00+01","Site Web","Huile Moteur Total 5L",3,"25000.00","1789.00","En attente"
19,"2026-01-23 00:00:00+01","Magasin","Plaquettes de frein",2,"12000.00","0.00","En attente"
20,"2026-02-04 00:00:00+01","Site Web","Huile Moteur Total 5L",1,"25000.00","1845.00","En attente"
21,"2026-03-22 00:00:00+01","WhatsApp","Filtre à air",3,"5000.00","1789.00","En attente"
22,"2026-01-29 00:00:00+01","WhatsApp","Batterie 70Ah",2,"45000.00","1458.00","En attente"
23,"2026-01-07 00:00:00+01","Magasin","Pneu Triangle 205/55R16",4,"35000.00","0.00","Annulé"
24,"2026-03-03 00:00:00+01","Magasin","Batterie 70Ah",2,"45000.00","0.00","En attente"
25,"2026-03-22 00:00:00+01","Site Web","Plaquettes de frein",2,"12000.00","2822.00","Annulé"
26,"2026-01-09 00:00:00+01","Magasin","Huile Moteur Total 5L",1,"25000.00","0.00","Annulé"
27,"2026-01-07 00:00:00+01","Site Web","Pneu Triangle 205/55R16",3,"35000.00","2063.00","Payé"
28,"2026-01-17 00:00:00+01","Magasin","Batterie 70Ah",2,"45000.00","0.00","En attente"
29,"2026-02-13 00:00:00+01","Site Web","Batterie 70Ah",1,"45000.00","2668.00","Annulé"
